Index,Time,((Shoot_Control).feed_ang).ref,((Shoot_Control).feed_ang).fdb,(AutoAim_Control).buff_pitch
653,0.653087,0,0,0
654,0.654090,0,0,0
655,0.655090,0,0,0
656,0.656105,0,0,0
657,0.657088,0,0,0
658,0.658087,0,0,0
659,0.659087,0,0,0
660,0.660090,0,0,0
661,0.661089,0,0,0
662,0.662085,0,0,0
663,0.663092,0,0,0
664,0.664087,0,0,0
665,0.665086,0,0,0
666,0.666090,0,0,0
667,0.667219,0,0,0
668,0.668085,0,0,0
669,0.669089,0,0,0
670,0.670088,0,0,0
671,0.671092,0,0,0
672,0.672092,0,0,0
673,0.673088,0,0,0
674,0.674088,0,0,0
675,0.675093,0,0,0
676,0.676092,0,0,0
677,0.677089,0,0,0
678,0.678121,0,0,0
679,0.679091,0,0,0
680,0.680088,0,0,0
681,0.681088,0,0,0
682,0.682092,0,0,0
683,0.683092,0,0,0
684,0.684088,0,0,0
685,0.685088,0,0,0
686,0.686085,0,0,0
687,0.687085,0,0,0
688,0.688092,0,0,0
689,0.689116,0,0,0
690,0.690100,0,0,0
691,0.691092,0,0,0
692,0.692088,0,0,0
693,0.693088,0,0,0
694,0.694092,0,0,0
695,0.695092,0,0,0
696,0.696088,0,0,0
697,0.697088,0,0,0
698,0.698088,0,0,0
699,0.699088,0,0,0
700,0.700092,0,0,0
701,0.701100,0,0,0
702,0.702090,0,0,0
703,0.703085,0,0,0
704,0.704092,0,0,0
705,0.705088,0,0,0
706,0.706087,0,0,0
707,0.707091,0,0,0
708,0.708085,0,0,0
709,0.709088,0,0,0
710,0.710087,0,0,0
711,0.711091,0,0,0
712,0.712101,0,0,0
713,0.713092,0,0,0
714,0.714088,0,0,0
715,0.715087,0,0,0
716,0.716091,0,0,0
717,0.717090,0,0,0
718,0.718101,0,0,0
719,0.719092,0,0,0
720,0.720088,0,0,0
721,0.721087,0,0,0
722,0.722104,0,0,0
723,0.723087,0,0,0
724,0.724091,0,0,0
725,0.725090,0,0,0
726,0.726086,0,0,0
727,0.727085,0,0,0
728,0.728091,0,0,0
729,0.729091,0,0,0
730,0.730086,0,0,0
731,0.731085,0,0,0
732,0.732088,0,0,0
733,0.733103,0,0,0
734,0.734086,0,0,0
735,0.735090,0,0,0
736,0.736090,0,0,0
737,0.737086,0,0,0
738,0.738089,0,0,0
739,0.739085,0,0,0
740,0.740085,0,0,0
741,0.741089,0,0,0
